tweet_id,name,gender,Resolution_Category,text,retweet_count,tweet_created,tweet_state,clean_text
5.48e+17,ChevyAmerica,female,Time Management/Organization,Time to do a little erasing and a lot of rearranging! #NewYearsResolution,,2014-12-23 20:05:00,KS,time to do a little erasing and a lot of rearranging
5.48e+17,alicechunt,female,Recreation & Leisure,@offkey_kc Thanks for the follow! FYI: Performing karaoke is a big fear I hope to overcome in 2015.....,,2014-12-24 07:55:00,KS,@offkey kc thanks for the follow fyi performing karaoke is a big fear i hope to overcome in 2015
5.48e+17,luciabrianne,female,Personal Growth,I wish that I could be like the cool kids #wishfulthinking #newyearsresolution #tryingtofitin _��__�...,,2014-12-25 18:05:00,KS,i wish that i could be like the cool kids
5.48e+17,codyjowilson7,female,Health & Fitness,Getting my new Fitbit all set up! Holiday 10 is my motivation to get moving!! #fitbit #NewYearsResol...,,2014-12-25 20:24:00,KS,getting my new fitbit all set up holiday 10 is my motivation to get moving
5.49e+17,JoeyNickum96,male,Personal Growth,No communication results in confusion. Something to change. #NewYearsResolution,,2014-12-26 10:57:00,KS,no communication results in confusion something to change
5.49e+17,jaredhymankcco,male,Personal Growth,New Year's resolutions.. GO!  #NewYearsResolution,,2014-12-26 18:39:00,KS,new years resolutions go
5.49e+17,MatlockTheDon,male,Humor,#NewYearsResolution Diddy Bop atleast once a day!,,2014-12-26 19:06:00,KS,diddy bop atleast once a day
5.49e+17,Britters_Smith,female,Recreation & Leisure,RT @jillibean052: #NewYearsResolution learn all the words to Ew by @jimmyfallon and recreate the vid...,,2014-12-26 19:38:00,KS,rt @jillibean052  learn all the words to ew by @jimmyfallon and recreate the video w @britters smith
5.49e+17,LeiannElliott,female,Personal Growth,"#NewYearsResolution x for me: simplify life, hit weight loss goal, no more debt, more quality  famil...",,2014-12-27 04:57:00,KS,x for me simplify life hit weight loss goal no more debt more quality  family time more dates w hubb...
5.49e+17,___Irwin___,male,Personal Growth,RT @I_DGAF_: #NewYearsResolution Stay The Saaaame,,2014-12-27 20:25:00,KS,rt @i dgaf   stay the saaaame
5.49e+17,misanthropester,male,Health & Fitness,"If Carrot Top can turn into beefcake, then I can manage to get fit #NewYearsResolution",,2014-12-27 22:00:00,KS,if carrot top can turn into beefcake then i can manage to get fit
5.49e+17,_Miss_Beth,female,Personal Growth,I can promise that I will never let myself get this way ever again. Never ever ever. #NewYearsResolu...,,2014-12-28 12:06:00,KS,i can promise that i will never let myself get this way ever again never ever ever
5.49e+17,LeiannElliott,female,Personal Growth,Planning to take a moment out of each day to stop and smell the roses. #NewYearsResolution #CountOur...,,2014-12-28 13:07:00,KS,planning to take a moment out of each day to stop and smell the roses
5.49e+17,MJStenzel77,male,Personal Growth,RT @cmbrookins: My New Years resolution is to spend more time in stillness and silence. #NewYearsRes...,,2014-12-28 18:14:00,KS,rt @cmbrookins my new years resolution is to spend more time in stillness and silence
5.49e+17,mymycool15,male,Humor,I made a vow to myself to only wear my @ConnorFranta #FrantasticMonday sweater only on Mondays. #New...,,2014-12-28 21:11:00,KS,i made a vow to myself to only wear my @connorfranta  sweater only on mondays
5.49e+17,SeanzahAngel,male,Personal Growth,"#NewYearsResolution 
... Be more confident in myself.
Less clothes. More selfies.
More dates.
More l...",,2014-12-28 21:59:00,KS,"be more confident in myself
less clothes more selfies
more dates
more love
less introversion"
5.5e+17,skydeena,female,Humor,"New rule: no food in the bedroom, but chocolate Starts right after I finish this sugar cookie.  #New...",,2014-12-29 05:58:00,KS,new rule no food in the bedroom but chocolate starts right after i finish this sugar cookie
5.5e+17,emmy_lou84,female,Humor,"I'm not asking for much, darling. #newyearsresolution http://t.co/IV76z1MhDf",,2014-12-29 21:03:00,KS,im not asking for much darling
5.5e+17,C_Eaves33,male,Personal Growth,Next year I will wear more clothes besides just hoodies and sweats #NewYearsResolution,,2014-12-30 20:12:00,KS,next year i will wear more clothes besides just hoodies and sweats
5.5e+17,kansasnick,male,Humor,#NewYearsResolution Take down this Christmas tree.,,2014-12-30 20:53:00,KS,take down this christmas tree
5.5e+17,ScottyByNature,male,Humor,My #NewYearsResolution; Start smoking and stop going to the gym,0.0,2014-12-31 08:31:00,KS,my  start smoking and stop going to the gym
5.5e+17,MattARinehart,male,Finance,My #NewYearsResolution is to stick the budget we come up with and get rid of majority of our debt.,0.0,2014-12-31 08:42:00,KS,my  is to stick the budget we come up with and get rid of majority of our debt
5.5e+17,philgomezKSU,male,Health & Fitness,Completed my last workout of 2014 at the gym. Ready for all the newbies of 2015 to come! #gymlife #N...,0.0,2014-12-31 08:45:00,KS,completed my last workout of 2014 at the gym ready for all the newbies of 2015 to come
5.5e+17,BillKomma,male,Personal Growth,@TangaRae12 I don't stay on top of my Twitter like I should.   #NewYearsresolution,0.0,2014-12-31 09:02:00,KS,@tangarae12 i dont stay on top of my twitter like i should
5.5e+17,jewilliams86,male,Recreation & Leisure,My #NewYearsResolution is to finally watch #Frozen,0.0,2014-12-31 09:14:00,KS,my  is to finally watch
5.5e+17,ktinamaude,female,Personal Growth,"Starting tomorrow the ""do nothing"" part of break is over and I start hardcore studying for the LSAT....",0.0,2014-12-31 12:31:00,KS,starting tomorrow the do nothing part of break is over and i start hardcore studying for the lsat
5.5e+17,ibahney94,male,Humor,Here is a #NewYearsResolution for everyone: learn how to spell my name correctly. #grumpyhuman,0.0,2014-12-31 12:58:00,KS,here is a  for everyone learn how to spell my name correctly
5.5e+17,KalieSueRDH,female,Health & Fitness,"If you can't think of a New Year's resolution, how about flossing every day! #healthyteeth #NewYears...",0.0,2014-12-31 15:37:00,KS,if you cant think of a new years resolution how about flossing every day
5.5e+17,thepozr,male,Recreation & Leisure,@MLBPAClubhouse My #NewYearsResolution  is to watch more baseball. #HappyNewYear,0.0,2014-12-31 15:40:00,KS,@mlbpaclubhouse my   is to watch more baseball
5.5e+17,SRiggs1234,male,Recreation & Leisure,#NewYearsResolution to have this same gear for 2015 #LetsGoRoyals #KansasCityRoyals http://t.co/RNKs...,0.0,2014-12-31 16:28:00,KS,to have this same gear for 2015
5.5e+17,emmalynn_16,female,Personal Growth,"I would like to be more straightforward this year, please. ��_ #NewYearsResolution",0.0,2014-12-31 17:34:00,KS,i would like to be more straightforward this year please
5.51e+17,emilybo_bemily,female,Personal Growth,This year I vowed to be less judgmental. I already failed. Twice. #oops #NewYearsResolution,0.0,2014-12-31 22:53:00,KS,this year i vowed to be less judgmental i already failed twice
5.51e+17,pastorcgordon,male,Personal Growth,"#NewyearsResolution Resolved, Never to give over, nor in the least to slacken, my fight with my corr...",0.0,2014-12-31 22:55:00,KS,resolved never to give over nor in the least to slacken my fight with my corruptions however unsucce...
5.51e+17,jewilliams86,male,Personal Growth,"#newyearsresolution be the Same ornery dancehall daredevil as always...2015 break laws, rules &amp; ...",0.0,2014-12-31 23:59:00,KS,be the same ornery dancehall daredevil as always2015 break laws rules amp hearts  carry on party peo...
5.51e+17,riccrowder,male,Personal Growth,Need help with #NewYearsResolution: Fav if I should care less what others think. RT if I should not ...,1.0,2015-01-01 05:57:00,KS,need help with  fav if i should care less what others think rt if i should not use social media to m...
5.51e+17,elliemae0013,female,Personal Growth,"RT @bRitBluhm: One thing that should be left in 2014: the word ""Bae"" #thankyou #NewYearsResolution #...",4.0,2015-01-01 06:15:00,KS,rt @britbluhm one thing that should be left in 2014 the word bae
5.51e+17,hillman741,male,Personal Growth,My #NewYearsResolution for 2015: patience. What will your resolution for the new year be?,0.0,2015-01-01 08:18:00,KS,my  for 2015 patience what will your resolution for the new year be
5.51e+17,brownaustin5635,male,Personal Growth,RT @jgomez1446: #NewYearsResolution keep my problems off of Twitter,1.0,2015-01-01 09:04:00,KS,rt @jgomez1446  keep my problems off of twitter
5.51e+17,cstone387,male,Humor,Yell loud enough about soccer that it annoys the neighbors #NewYearsResolution,0.0,2015-01-01 09:37:00,KS,yell loud enough about soccer that it annoys the neighbors
5.51e+17,autumnstrausy,female,Family/Friends/Relationships,New Years resolution: switch out the man tears for almond milk in my morning coffee.,0.0,2015-01-01 11:28:00,KS,new years resolution switch out the man tears for almond milk in my morning coffee
5.51e+17,parischanel21,female,Humor,I have New Years resolution for some of y'all: learn the difference between your and you're. Thanks.,0.0,2015-01-01 11:32:00,KS,i have new years resolution for some of yall learn the difference between your and youre thanks
5.51e+17,ellllbelllll,female,Health & Fitness,RT @shelbieyoung: New Years resolution: lose 15 lbs and get fit,1.0,2015-01-01 11:36:00,KS,rt @shelbieyoung new years resolution lose 15 lbs and get fit
5.51e+17,Jrams51,male,Personal Growth,I'm such a prick.. Maybe I should try to be nicer for my New Years resolution. _٪�,0.0,2015-01-01 11:37:00,KS,im such a prick maybe i should try to be nicer for my new years resolution
5.51e+17,kmgoulden,male,Humor,"My new years resolution was to not eat meat again for good, but my mom made tacos so I lasted a day",0.0,2015-01-01 11:47:00,KS,my new years resolution was to not eat meat again for good but my mom made tacos so i lasted a day
5.51e+17,dylanjcisneros,male,Career,New Years Resolution is to find a better job,0.0,2015-01-01 11:55:00,KS,new years resolution is to find a better job
5.51e+17,Makaveli1371,male,Personal Growth,2015 New Years Resolution; I DONT FUCK WITH YOU!! @BigSean voice*,0.0,2015-01-01 11:57:00,KS,2015 new years resolution i dont fuck with you @bigsean voice
5.51e+17,bryanjbye,male,Health & Fitness,My New Years Resolution is maybe insane: I want to track everything I eat. I figure the guilt of see...,0.0,2015-01-01 12:00:00,KS,my new years resolution is maybe insane i want to track everything i eat i figure the guilt of seein...
5.51e+17,hemmoforlarry,male,Personal Growth,one my new years resolution is to be more active on this account.,0.0,2015-01-01 12:11:00,KS,one my new years resolution is to be more active on this account
5.51e+17,liv_cox,female,Personal Growth,New Years resolution: get my sh!t together,2.0,2015-01-01 12:14:00,KS,new years resolution get my sht together
5.51e+17,carneyyymeade,female,Humor,���@NoChillPosts: NEW YEARS RESOLUTION http://t.co/A3eM4JExKX�۝ yeah same,0.0,2015-01-01 12:28:00,KS,@nochillposts new years resolution  yeah same
5.51e+17,Fixthe_Fernback,female,Humor,My New Years resolution is to get even better at angles so everyone back home thinks I'm really skin...,0.0,2015-01-02 07:49:00,KS,my new years resolution is to get even better at angles so everyone back home thinks im really skinn...
5.51e+17,jamie_sear,female,Personal Growth,���@SnapchatProbbz: New Years resolution: http://t.co/4VEvKMvGs7�۝ @missymaddy15,0.0,2015-01-02 09:04:00,KS,@snapchatprobbz new years resolution  @missymaddy15
